expert,site,overall_rank,qb_rank,rb_rank,wr_rank,te_rank,k_rank,dst_rank,use_qb,use_rb,use_wr,use_te,use_k,use_dst,weight,rankings_file,notes
Seth Miller,Crossroads Fantasy Football,1,2,33,1,187,61,,1,1,1,0,0,0,1.0,data/raw/rankings_seth_miller.csv,
Guilherme Gianni,Fantasy Futebolista,2,18,5,11,136,36,54,1,1,1,0,1,1,1.0,data/raw/rankings_guilherme_gianni.csv,
Michael Bobal,The 33rd Team,3,20,3,29,112,,83,1,1,1,0,0,0,1.0,data/raw/rankings_michael_bobal.csv,
Jason Willan,Gridiron Experts,4,138,1,99,17,93,31,0,1,0,1,0,1,1.0,data/raw/rankings_jason_willan.csv,
Marc Shannep,Fantasy Knockout,5,19,54,4,39,,106,1,1,1,1,0,0,1.0,data/raw/rankings_marc_shannep.csv,
Joey Wright,Footballguys,6,74,4,61,25,86,78,0,1,0,1,0,0,1.0,data/raw/rankings_joey_wright.csv,
Ryan Weisse,Club Fantasy FFL,7,16,8,171,3,64,125,1,1,0,1,0,0,1.0,data/raw/rankings_ryan_weisse.csv,
Kevin Steele,The Fantasy Authority,8,33,10,45,78,45,8,1,1,1,0,1,1,1.0,data/raw/rankings_kevin_steele.csv,
Jody Smith,Draft Sharks,9,66,19,21,23,56,44,0,1,1,1,1,1,1.0,data/raw/rankings_jody_smith.csv,
Tim Heaney,Sporting News,10,25,6,114,103,,,1,1,0,0,0,0,1.0,data/raw/rankings_tim_heaney.csv,
Todd D Clark,The Fantasy Fix,11,8,88,8,140,,,1,0,1,0,0,0,1.0,data/raw/rankings_todd_d_clark.csv,
Adam Stark,Everyday Fantasy Football,12,27,63,30,46,,,1,0,1,1,0,0,1.0,data/raw/rankings_adam_stark.csv,
Sean Koerner,The Action Network,13,3,101,43,81,10,130,1,0,1,0,1,0,1.0,data/raw/rankings_sean_koerner.csv,
Mason Riney,Fantasy In Frames,14,5,7,183,95,,71,1,1,0,0,0,0,1.0,data/raw/rankings_mason_riney.csv,
Shane Hallam,Draft Sharks,15,11,40,72,126,13,128,1,1,0,0,1,0,1.0,data/raw/rankings_shane_hallam.csv,
Justin Weigal,Fantasy Sharks,16,77,26,39,67,67,85,0,1,1,0,0,0,1.0,data/raw/rankings_justin_weigal.csv,
Nick Mariano,RotoBaller,17,32,73,13,124,5,119,1,0,1,0,1,0,1.0,data/raw/rankings_nick_mariano.csv,
Jared Smola,Draft Sharks,18,50,85,7,88,17,25,1,0,1,0,1,1,1.0,data/raw/rankings_jared_smola.csv,
Nic Bodiford,NerdBall Fantasy Football,19,30,116,28,6,65,,1,0,1,1,0,0,1.0,data/raw/rankings_nic_bodiford.csv,
Trevor Land,FlurrySports,20,99,11,57,132,116,13,0,1,1,0,0,1,1.0,data/raw/rankings_trevor_land.csv,
Alex Korff,Draft Sharks,21,170,28,2,128,29,95,0,1,1,0,1,0,1.0,data/raw/rankings_alex_korff.csv,
Tommy Garrett,SharpLinkHQ,22,72,29,69,47,46,35,0,1,0,1,1,1,1.0,data/raw/rankings_tommy_garrett.csv,
Kev Wheeler,Wheel Route FF,26,91,44,35,50,22,66,0,1,1,1,1,0,1.0,data/raw/rankings_kev_wheeler.csv,
Lee Wehry,FantasyPros,27,126,35,77,8,50,64,0,1,0,1,1,0,1.0,data/raw/rankings_lee_wehry.csv,
Kyle Krajewski,First Seed Sports,28,129,23,65,27,117,96,0,1,0,1,0,0,1.0,data/raw/rankings_kyle_krajewski.csv,
Tal Malachovsky,The Fantasy Scout,29,90,106,5,26,79,75,0,0,1,1,0,0,1.0,data/raw/rankings_tal_malachovsky.csv,
Ben Wasley,Hashtag Football,33,162,17,26,79,1,102,0,1,1,0,1,0,1.0,data/raw/rankings_ben_wasley.csv,
Doug Orth,FFToday,37,98,84,36,19,,,0,0,1,1,0,0,1.0,data/raw/rankings_doug_orth.csv,
