2026 DST Projections - Consensus Fantasy Football Stats for Defense & Special Teams | FantasyPros,,,,,,,,,
Player,SACK,INT,FR,FF,TD,SAFETY,PA,YDS AGN,FPTS
Houston Texans,49.4,14.4,11.6,18.2,2.8,1,322.1,"5,058.60",120
Denver Broncos,59.8,13.30,8.30,12.2,2.4,0.5,318.9,"4,840.60",118.2
Minnesota Vikings,49.3,12.60,12.10,18.1,2.4,0,360.5,"5,287.10",112.8
Pittsburgh Steelers,45.9,13.30,12.50,18.7,2.4,0,346.4,"5,429.40",111.7
Seattle Seahawks,46.5,13.60,8.40,13.6,3.2,0.5,314,"5,105.90",110.7
Los Angeles Chargers,48.9,15.30,8.70,12.6,2,0.00,365.9,"5,470.90",108.6
Detroit Lions,48,13.40,9.30,14.4,2.2,0.50,373.6,"5,439.30",107.4
Los Angeles Rams,46.5,13.40,9.50,14.5,2.3,0.50,346.9,"5,236.60",107.3
Buffalo Bills,42.7,14.60,9.60,12.7,2.4,0.5,392.3,"5,723.60",106.7
Atlanta Falcons,49.4,12.60,8.10,12.7,2.3,0.50,419.2,"5,663.00",105.6
Philadelphia Eagles,42.5,13.00,10.00,14.3,2.4,0,323.6,"5,265.70",102.5
Baltimore Ravens,46.1,12.80,9.00,14.1,2,0,355.5,"5,249.80",101.3
Cleveland Browns,46.4,12.10,8.50,12.6,2.2,0,386.7,"5,175.70",100.9
Chicago Bears,39,14.10,10.60,16.6,2.1,0,389.5,"5,892.80",100.9
New Orleans Saints,44.9,12.20,8.80,12.8,2.3,0,392.9,"5,422.60",100.5
Jacksonville Jaguars,37.2,13.90,9.60,13.7,2.6,0,386.8,"5,481.30",99.9
Cincinnati Bengals,41.2,13.10,9.80,13.4,2.1,0,411.7,"5,818.30",99.6
New England Patriots,41.1,11.90,8.90,13,2.6,0.5,359.3,"5,330.40",99.4
Tampa Bay Buccaneers,41.1,11.70,10.00,13.4,2,0.50,391.2,"5,578.50",97.3
Tennessee Titans,44.8,10.1,8.50,13,2.1,0.5,463.7,"5,962.50",95.7
Green Bay Packers,40.5,11.9,9.70,13.5,1.9,0.00,365.9,"5,495.30",95.1
Indianapolis Colts,39.4,12.90,8.70,12.3,1.9,0.00,398.7,"5,561.30",94.3
Washington Commanders,43.8,9.80,8.80,13.3,2,0.5,438.5,"6,120.90",94.3
Kansas City Chiefs,42,11.7,7.90,12.2,1.9,0,347.6,"5,369.60",92.5
Dallas Cowboys,42.1,10.7,8.40,13.1,1.9,0.00,437.6,"6,051.00",91.6
New York Giants,40.9,10.5,8.80,12.4,2,0,418.7,"6,055.50",91.3
Miami Dolphins,42.3,10.2,9.10,13.8,1.6,0.00,449.8,"6,075.90",90.4
Arizona Cardinals,35.8,11.8,9.30,14,1.9,0.5,465.9,"6,147.80",90.2
Las Vegas Raiders,40.7,10.2,8.40,14,1.8,0.50,440.4,"5,756.20",89.7
San Francisco 49ers,36,11.1,9.30,15.3,1.9,0,393,"5,621.80",88.1
Carolina Panthers,38.2,11.6,7.10,10.6,1.8,0.00,401.7,"5,778.10",86.3
New York Jets,37.4,10,7.70,12.2,1.9,0.50,432.1,"5,653.10",85
