2026 K Projections - Consensus Fantasy Football Stats for Kickers | FantasyPros,,,,
Player,FG,FGA,XPT,FPTS
Brandon Aubrey DAL,35.2,39.5,47.6,153
Jason Myers SEA,34.7,40.00,46.30,150.4
Ka'imi Fairbairn HOU,36.3,40.50,35.20,144.1
Cameron Dicker LAC,34.3,37.60,39.80,142.7
Harrison Mevis LAR,27.3,30.20,54.90,136.9
Jake Bates DET,28.3,33.80,51.00,135.9
Blake Grupe IND,30.2,36.50,42.90,133.4
Cairo Santos CHI,30,34.50,43.30,133.3
Chase McLaughlin TB,31.5,36.50,38.30,132.9
Eddy Pineiro SF,31,34.70,39.50,132.6
Tyler Loop BAL,28.4,32.50,46.80,132.1
Harrison Butker KC,31.3,36.60,38.10,131.9
Cam Little JAC,29.1,32.50,44.10,131.5
Will Reichard MIN,30.9,34.20,38.00,130.7
Evan McPherson CIN,27.7,32.10,45.70,128.7
Wil Lutz DEN,29,33.70,41.50,128.5
Trey Smack GB,28.9,34.10,39.60,126.4
Tyler Bass BUF,25.6,30.90,46.70,123.6
Nick Folk ATL,28.3,31.20,36.00,121.1
Jake Elliott PHI,26,31.8,41.70,119.8
Daniel Carlson NO,29.3,34.5,31.70,119.7
Andy Borregales NE,25.8,30.90,42.00,119.4
Chris Boswell PIT,28.1,32.40,34.00,118.3
Drew Stevens WAS,26.6,32.2,37.10,116.8
Riley Patterson MIA,27.9,32.1,31.20,114.7
Joey Slye TEN,27.4,33.1,31.70,113.9
Jason Sanders NYJ,27.1,32.1,31.90,113.3
Chad Ryland ARI,26.6,33.1,31.80,111.7
Ryan Fitzgerald CAR,25.5,30.2,31.40,107.9
Matt Gay LV,25.8,32.1,29.60,107.1
Andre Szmyt CLE,24.6,28.1,28.30,102.2
Dominic Zvada NYG,18.2,21.7,22.20,76.7
Charlie Smyth NO,15,18,18.50,63.5
Ben Sauls NYG,15.3,18.7,12.50,58.5
Spencer Shrader IND,0,0,0.00,0
Tanner Brown NO,0,0,0.00,0
