2026 Half-PPR TE Projections - Consensus Fantasy Football Stats for Tight Ends | FantasyPros,,,,,
,RECEIVING,,,MISC,
Player,REC,YDS,TDS,FL,FPTS
Trey McBride ARI,108.9,"1,069.10",6.80,0.2,201.6
Brock Bowers LV,96.6,"1,022.90",7.50,0.2,195.4
Colston Loveland CHI,79.1,927.10,6.70,0.2,171.8
Tyler Warren IND,79,878.50,5.50,0.3,159.7
Harold Fannin Jr. CLE,82.6,834.30,5.70,0.8,157.6
George Kittle SF,69.4,787.60,6.20,0.2,150.4
Kyle Pitts Sr. ATL,77.2,845.20,4.40,0.1,149.2
Sam LaPorta DET,70.4,813.90,5.50,0.2,148.9
Dallas Goedert PHI,65.5,689.20,7.60,0.2,146.7
Tucker Kraft GB,60.8,772.80,6.50,0.2,146
Travis Kelce KC,75.3,786.30,4.90,0.3,144.9
Mark Andrews BAL,59.6,618.80,7.70,0.3,137.4
Isaiah Likely NYG,63.1,745.30,5.00,1.3,133.7
Dalton Kincaid BUF,57.1,706.80,5.50,0.2,131.6
Jake Ferguson DAL,74,606.40,6.00,1.4,130.5
Hunter Henry NE,55.5,650.60,5.40,0.1,125.2
Juwan Johnson NO,64.7,730.30,3.30,1.3,122.4
Brenton Strange JAC,60,661.20,4.30,0.2,121.7
Dalton Schultz HOU,65.8,627.1,3.40,0.2,115.4
T.J. Hockenson MIN,63.9,574.5,3.30,0.2,108.7
Pat Freiermuth PIT,53,560.00,4.30,0.2,107.6
Greg Dulcich MIA,54.6,620.00,3.20,1.2,106.2
Terrance Ferguson LAR,39,533.4,5.10,0.2,103.3
Cade Otton TB,54.8,557.4,3.10,0.1,101.5
Kenyon Sadiq NYJ,49,537.6,4.00,0.7,100.8
AJ Barner SEA,48.6,469.9,4.90,0.2,100.1
Chig Okonkwo WAS,52.8,569.5,2.80,0.1,99.8
Darren Waller CAR,43.4,446.5,4.70,0.1,94.2
Evan Engram DEN,53.4,475.9,2.70,0.1,90.4
Gunnar Helm TEN,48.9,444.1,3.10,0.2,87.1
David Njoku LAC,42.3,396.6,4.30,0.1,86.3
Mike Gesicki CIN,41.4,434.3,3.60,0.1,85.4
Oronde Gadsden II LAC,37.8,474.9,2.80,0.6,82.2
Mason Taylor NYJ,46.1,405.9,2.50,0.1,78.2
Colby Parkinson LAR,33.3,342.5,4,0.6,73.8
Michael Mayer LV,40,376.3,2.1,0.1,70
Dawson Knox BUF,28.6,331.7,2.9,0.1,64.9
Theo Johnson NYG,27.8,313.7,2.9,0.1,62.3
Darnell Washington PIT,30.7,329.1,2,0.6,58.8
Jonnu Smith GB,28,252,3,0,57.2
Tyler Higbee LAR,25.1,296.5,2.4,0,56.6
Cole Kmet CHI,26.2,274.1,2.2,0.1,53.7
Erick All Jr. CIN,30.5,268.1,1.9,0.1,53.5
Noah Fant NO,29.3,274.4,1.6,1.6,48.6
Will Kacmarek MIA,26.6,250.7,1.9,0.6,48.5
Elijah Arroyo SEA,23.6,240.1,1.9,0.2,46.6
Charlie Kolar LAC,20.2,230.3,2,0.1,45.3
Brock Wright DET,20.9,187.6,2.3,0,43
Josh Oliver MIN,18.6,194.3,2.4,0.1,42.8
Daniel Bellinger TEN,19.3,222.3,1.8,0,42.3
Austin Hooper ATL,21.9,225.4,1.3,0.1,41
Tommy Tremble CAR,21.1,197.8,1.8,0.1,40.8
Noah Gray KC,21.1,212,1.5,0.1,40.5
Eli Stowers PHI,20.9,214.5,1.4,0.6,39.1
Adam Trautman DEN,19.3,197.2,1.5,0,38.2
Eli Raridon NE,18.8,195.4,1.6,0.6,37.1
Davis Allen LAR,16.9,157.3,1.9,0,35.4
Ben Sims MIA,19.5,184.6,1.2,0,35.1
Ja'Tavion Sanders CAR,22.3,178.1,1,0.1,35
Elijah Higgins ARI,22,201.5,0.8,0.6,35
Marlin Klein HOU,19.5,192.5,1.1,0.5,34.6
Luke Musgrave GB,18.8,179.8,1.1,0,34
John Bates WAS,17.1,169.9,1.6,0.6,33.9
Jeremy Ruckert NYJ,19.7,146.2,1.3,0,32
Jake Tonges SF,15.8,156.8,1.3,0,31
Nate Boerkircher JAC,14.9,156.8,1.3,0.5,29.8
Connor Heyward LV,14,102,2,0,29.2
Nick Vannett SEA,10,95,2,0,26.5
Drew Sample CIN,15.2,123.2,1.1,0.1,26.3
Nate Adkins DEN,11.9,88.4,1.8,0,25.8
Cade Stover HOU,15.2,127.7,0.9,0.1,25.5
Jackson Hawes BUF,10.5,115.1,1.4,0,25.4
Ben Sinnott WAS,11.1,114.4,1.4,0,25.3
Zack Kuntz DAL,12,128,1,0,24.8
Jack Endries CIN,13,123,1,0,24.8
Luke Schoonmaker DAL,13.2,121.5,1,0,24.4
Will Mallory IND,11,125,1,0,24
Grant Calcaterra PHI,11,115,1,0,23
Foster Moreau HOU,9.3,105.4,1.3,0,22.9
Bauer Sharp TB,11,113,1,0,22.8
Tanner Hudson CIN,13.1,110.3,0.9,0.1,22.8
Cam Grandy CIN,13,100,1,0,22.5
Tanner Conner NYG,10,113,1,0,22.3
Zaire Mitchell-Paden NO,11,108,1,0,22.3
Mo Alie-Cox IND,10.7,113.9,0.9,0.1,22.1
Charlie Woerner ATL,13.5,114.4,0.6,0,21.7
Thomas Fidone II NYG,10,101,1,0,21.1
Jared Wiley KC,11,96,1,0,21.1
Durham Smythe BAL,9.8,94,0.7,0.1,18.6
Mitchell Evans CAR,8,71.5,1,0,17.2
Payne Durham TB,7.6,80.8,0.8,0,16.7
Max Klare LAR,8,82.6,0.7,0,16.3
Justin Joly DEN,8,71.4,0.7,0,15
Devin Culp TB,5.5,59,1,0,14.7
Sam Roush CHI,6.8,72.4,0.6,0,14.5
Oscar Delp NO,7.8,74.1,0.5,0.1,14.1
Ian Thomas LV,6.9,61.5,0.6,0,13
Hunter Long JAC,5,45,1,0,13
Joe Royer CLE,7.6,68,0.3,0.1,12.5
Lucas Krull DEN,6,44.5,0.5,0,10.5
Brevyn Spann-Ford DAL,3.9,36.7,0.3,0,7.5
Luke Farrell SF,4,38.3,0.3,0,7.3
CJ Dippre NE,3.9,37.4,0.3,0,7.3
Tanner Koziol JAC,3.9,36.7,0.3,0,7.2
Ko Kieft TB,3.7,36.1,0.3,0,7.2
Tyler Conklin DET,3.7,37.9,0.3,0,7.1
Drew Ogletree IND,3.6,36.3,0.3,0,7
Josh Whyle GB,3.6,33,0.3,0,7
Josh Cuevas BAL,3.3,35.8,0.3,0,6.9
Eric Saubert SEA,3.4,34.4,0.3,0,6.9
Tip Reiman ARI,3.8,34.4,0.2,0,6.5
Johnny Mundt PHI,3.5,35.4,0.2,0,6.5
Blake Whiteheart CLE,3.6,31.7,0.2,0,5.9
Chris Manhertz NYG,1.8,16.3,0.1,0,3.2
Quintin Morris JAC,0,0,0,0,0
Jack Stoll CLE,0,0,0,0,0
Cole Turner MIA,0,0,0,0,0
Jelani Woods NYJ,0,0,0,0,0
Julian Hill NE,0,0,0,0,0
