rank_ecr,player,pos,team,bye,rank_avg,rank_best,rank_worst,rank_std,adp,tier,pos_rank
1,"Ja'Marr Chase",WR,CIN,6,1.52,1,4,0.92,3,1,WR1
2,"Jahmyr Gibbs",RB,DET,6,2.48,1,7,1.30,1,1,RB1
3,"Puka Nacua",WR,LAR,11,3.21,1,8,1.20,4,1,WR2
4,"Bijan Robinson",RB,ATL,11,4.10,2,7,1.43,2,1,RB2
5,"Jaxon Smith-Njigba",WR,SEA,11,4.68,1,8,1.28,6,1,WR3
6,"Amon-Ra St. Brown",WR,DET,6,5.42,3,9,1.26,8,1,WR4
7,"CeeDee Lamb",WR,DAL,14,8.99,6,16,1.81,10,2,WR5
8,"Christian McCaffrey",RB,SF,8,9.20,5,24,4.21,5,2,RB3
9,"Justin Jefferson",WR,MIN,6,9.36,4,20,2.30,12,2,WR6
10,"Jonathan Taylor",RB,IND,13,11.90,7,33,5.30,7,2,RB4
11,"Drake London",WR,ATL,11,12.86,8,26,3.78,19,2,WR7
12,"A.J. Brown",WR,NE,11,14.21,6,35,5.17,20,3,WR8
13,"James Cook III",RB,BUF,7,15.99,7,34,6.50,9,3,RB5
14,"Nico Collins",WR,HOU,8,15.99,9,28,3.87,24,3,WR9
15,"Chase Brown",RB,CIN,6,17.93,8,34,5.60,14,3,RB6
16,"Chris Olave",WR,NO,8,18.01,9,36,5.74,27,3,WR10
17,"Brock Bowers",TE,LV,13,18.97,11,57,5.03,22,3,TE1
18,"George Pickens",WR,DAL,14,20.43,9,40,6.12,25,3,WR11
19,"De'Von Achane",RB,MIA,6,20.94,10,43,7.07,11,3,RB7
20,"Trey McBride",TE,ARI,14,21.06,16,57,6.15,21,3,TE2
21,"DeVonta Smith",WR,PHI,10,24.10,12,45,6.76,34,4,WR12
22,"Saquon Barkley",RB,PHI,10,24.29,10,39,6.95,13,4,RB8
23,"Rashee Rice",WR,KC,5,24.65,9,48,9.10,26,4,WR13
24,"Malik Nabers",WR,NYG,8,24.76,11,51,9.42,28,4,WR14
25,"Omarion Hampton",RB,LAC,7,25.49,7,47,7.70,17,4,RB9
26,"Josh Allen",QB,BUF,7,25.84,21,39,2.66,23,4,QB1
27,"Kenneth Walker III",RB,KC,5,26.41,12,58,8.90,18,4,RB10
28,"Ashton Jeanty",RB,LV,13,26.70,11,56,9.52,15,4,RB11
29,"Garrett Wilson",WR,NYJ,13,29.58,14,47,7.78,38,4,WR15
30,"Zay Flowers",WR,BAL,13,30.26,15,48,8.28,35,4,WR16
31,"Lamar Jackson",QB,BAL,13,31.96,25,61,8.80,41,4,QB2
32,"Jaylen Waddle",WR,DEN,10,34.75,18,62,7.88,48,4,WR17
33,"Ladd McConkey",WR,LAC,7,34.85,18,51,7.19,44,4,WR18
34,"Tetairoa McMillan",WR,CAR,5,35.55,18,50,6.92,39,4,WR19
35,"Tee Higgins",WR,CIN,6,36.81,19,51,6.85,42,5,WR20
36,"Colston Loveland",TE,CHI,10,37.44,22,95,13.70,43,5,TE3
37,"Drake Maye",QB,NE,11,37.67,26,74,12.69,53,5,QB3
38,"Derrick Henry",RB,BAL,13,37.75,16,47,8.52,16,5,RB12
39,"Breece Hall",RB,NYJ,13,40.00,28,56,5.93,33,5,RB13
40,"Emeka Egbuka",WR,TB,10,40.91,15,62,7.24,40,5,WR21
41,"Jeremiyah Love",RB,ARI,14,41.37,27,65,8.17,29,5,RB14
42,"Kyren Williams",RB,LAR,11,41.45,24,59,6.73,30,5,RB15
43,"Javonte Williams",RB,DAL,14,44.61,31,61,6.03,31,5,RB16
44,"Joe Burrow",QB,CIN,6,45.81,27,72,12.92,54,5,QB4
45,"Josh Jacobs",RB,GB,11,46.93,24,67,8.53,32,5,RB17
46,"Terry McLaurin",WR,WAS,7,47.12,26,68,6.21,55,5,WR22
47,"Luther Burden III",WR,CHI,10,47.14,26,69,8.42,56,5,WR23
48,"Travis Etienne Jr.",RB,NO,8,47.61,31,65,7.58,36,5,RB18
49,"Davante Adams",WR,LAR,11,50.12,29,69,8.09,51,5,WR24
50,"DJ Moore",WR,BUF,7,52.07,19,100,12.60,50,5,WR25
51,"Tyler Warren",TE,IND,13,53.13,22,73,10.95,52,6,TE4
52,"Jayden Daniels",QB,WAS,7,53.29,27,101,15.55,62,6,QB5
53,"D'Andre Swift",RB,CHI,10,54.59,34,75,8.01,46,6,RB19
54,"Jameson Williams",WR,DET,6,54.74,40,96,10.27,58,6,WR26
55,"Mike Evans",WR,SF,8,56.13,38,83,10.77,64,6,WR27
56,"Jalen Hurts",QB,PHI,10,56.50,30,79,12.78,63,6,QB6
57,"Cam Skattebo",RB,NYG,8,57.34,41,77,8.32,37,6,RB20
58,"Rome Odunze",WR,CHI,10,57.49,40,88,9.47,61,6,WR28
59,"Christian Watson",WR,GB,11,57.65,38,107,10.81,66,6,WR29
60,"Bucky Irving",RB,TB,10,58.75,41,80,9.00,45,6,RB21
61,"David Montgomery",RB,HOU,8,61.35,43,78,8.62,49,6,RB22
62,"Quinshon Judkins",RB,CLE,11,61.94,39,78,9.30,47,6,RB23
63,"Parker Washington",WR,JAC,7,63.61,40,110,16.30,70,6,WR30
64,"Caleb Williams",QB,CHI,10,67.10,37,98,12.55,77,6,QB7
65,"Bhayshul Tuten",RB,JAC,7,67.17,43,93,9.67,57,6,RB24
66,"Carnell Tate",WR,TEN,9,68.27,45,116,14.79,74,6,WR31
67,"Marvin Harrison Jr.",WR,ARI,14,68.55,40,110,12.35,72,6,WR32
68,"TreVeyon Henderson",RB,NE,11,71.03,46,96,9.85,59,6,RB25
69,"Justin Herbert",QB,LAC,7,71.63,30,105,13.71,86,6,QB8
70,"Jadarian Price",RB,SEA,11,73.28,47,127,12.10,60,6,RB26
71,"Harold Fannin Jr.",TE,CLE,11,73.44,54,112,11.84,67,6,TE5
72,"Chris Godwin Jr.",WR,TB,10,76.47,45,121,14.27,93,7,WR33
73,"Rhamondre Stevenson",RB,NE,11,77.27,53,117,9.49,65,7,RB27
74,"Jaylen Warren",RB,PIT,9,77.43,65,99,8.12,69,7,RB28
75,"Trevor Lawrence",QB,JAC,7,77.84,54,105,13.06,83,7,QB9
76,"Dak Prescott",QB,DAL,14,78.25,54,105,11.81,75,7,QB10
77,"Kyle Pitts Sr.",TE,ATL,11,78.52,61,97,9.60,68,7,TE6
78,"DK Metcalf",WR,PIT,9,78.72,48,115,12.73,81,7,WR34
79,"Brian Thomas Jr.",WR,JAC,7,79.88,49,123,13.69,80,7,WR35
80,"Michael Pittman Jr.",WR,PIT,9,80.43,45,117,14.33,94,7,WR36
81,"Tucker Kraft",TE,GB,11,80.46,32,106,13.73,71,7,TE7
82,"Courtland Sutton",WR,DEN,10,83.30,49,116,14.56,76,7,WR37
83,"Tony Pollard",RB,TEN,9,84.81,67,120,10.01,78,7,RB29
84,"Wan'Dale Robinson",WR,TEN,9,85.53,48,123,14.65,96,7,WR38
85,"Sam LaPorta",TE,DET,6,85.96,54,131,13.95,73,7,TE8
86,"Josh Downs",WR,IND,13,87.17,52,133,15.00,112,7,WR39
87,"Michael Wilson",WR,ARI,14,88.30,52,133,16.48,85,7,WR40
88,"Rico Dowdle",RB,PIT,9,88.90,65,122,12.88,79,7,RB30
89,"Jonathon Brooks",RB,CAR,5,90.92,61,152,18.66,82,7,RB31
90,"Quentin Johnston",WR,LAC,7,95.74,68,134,13.81,110,7,WR41
91,"Brock Purdy",QB,SF,8,96.50,63,119,10.00,108,7,QB11
92,"RJ Harvey",RB,DEN,10,97.41,65,140,16.43,84,7,RB32
93,"Jaxson Dart",QB,NYG,8,97.46,59,119,12.90,91,7,QB12
94,"Travis Kelce",TE,KC,5,98.63,66,139,14.71,95,8,TE9
95,"George Kittle",TE,SF,8,98.93,66,229,18.80,88,8,TE10
96,"Chuba Hubbard",RB,CAR,5,98.95,72,141,16.68,89,8,RB33
97,"Bo Nix",QB,DEN,10,99.30,70,125,10.03,109,8,QB13
98,"Kenny Gainwell",RB,TB,10,99.69,65,141,14.27,98,8,RB34
99,"Alec Pierce",WR,IND,13,100.39,62,142,20.32,92,8,WR42
100,"J.K. Dobbins",RB,DEN,10,100.45,78,127,15.28,87,8,RB35
101,"Patrick Mahomes II",QB,KC,5,101.38,63,132,11.27,103,8,QB14
102,"Stefon Diggs",WR,WAS,7,96.40,48,215,31.74,104,8,WR43
103,"Jayden Reed",WR,GB,11,104.14,76,133,14.09,119,8,WR44
104,"Matthew Stafford",QB,LAR,11,104.30,63,129,12.83,90,8,QB15
105,"Jakobi Meyers",WR,JAC,7,104.49,68,150,18.30,118,8,WR45
